id,name,city,iata,region
3411,Barter Island LRRS Airport,Barter Island,BTI,Anchorage
3412,Wainwright Air Station,Fort Wainwright,\N,Anchorage
3413,Cape Lisburne LRRS Airport,Cape Lisburne,LUR,Anchorage
3414,Point Lay LRRS Airport,Point Lay,PIZ,Anchorage
3415,Hilo International Airport,Hilo,ITO,Pacific/Honolulu
3416,Orlando Executive Airport,Orlando,ORL,New York
3417,Bettles Airport,Bettles,BTT,Anchorage
3418,Clear Airport,Clear Mews,\N,Anchorage
3419,Indian Mountain LRRS Airport,Indian Mountains,UTO,Anchorage
3420,Fort Yukon Airport,Fort Yukon,FYU,Anchorage
3421,Sparrevohn LRRS Airport,Sparrevohn,SVW,Anchorage
3422,Bryant Army Heliport,Fort Richardson,FRN,Anchorage
3423,Tatalina LRRS Airport,Tatalina,TLJ,Anchorage
3424,Cape Romanzof LRRS Airport,Cape Romanzof,CZF,Anchorage
3425,Laurence G Hanscom Field,Bedford,BED,New York
3426,St Paul Island Airport,St. Paul Island,SNP,Anchorage
3427,Cape Newenham LRRS Airport,Cape Newenham,EHM,Anchorage
3428,St George Airport,Point Barrow,STG,Anchorage
3429,Iliamna Airport,Iliamna,ILI,Anchorage
3430,Platinum Airport,Port Moller,PTU,Anchorage
3431,Big Mountain Airport,Big Mountain,BMX,Anchorage
3432,Oscoda Wurtsmith Airport,Oscoda,OSC,New York
3433,Marina Municipal Airport,Fort Ord,OAR,Los Angeles
3434,Sacramento Mather Airport,Sacramento,MHR,Los Angeles
3435,Bicycle Lake Army Air Field,Fort Irwin,BYS,Los Angeles
3436,Twentynine Palms (Self) Airport,Twenty Nine Palms,\N,Los Angeles
3437,Fort Smith Regional Airport,Fort Smith,FSM,Chicago
3438,Merrill Field,Anchorage,MRI,Anchorage
3439,Grants-Milan Municipal Airport,Grants,GNT,Denver
3440,Ponca City Regional Airport,Ponca City,PNC,Chicago
3441,Hunter Army Air Field,Hunter Aaf,SVN,New York
3442,Grand Forks International Airport,Grand Forks,GFK,Chicago
3443,"Pine Bluff Regional Airport, Grider Field",Pine Bluff,PBF,Chicago
3444,Whiting Field Naval Air Station - North,Milton,NSE,Chicago
3445,Hana Airport,Hana,HNM,Pacific/Honolulu
3446,Ernest A. Love Field,Prescott,PRC,Phoenix
3447,Trenton Mercer Airport,Trenton,TTN,New York
3448,General Edward Lawrence Logan International Airport,Boston,BOS,New York
3449,Travis Air Force Base,Fairfield,SUU,Los Angeles
